# E (eV)  pdos(E) 
  -10.574000359    7.213489532
  -10.553999901    6.463738918
  -10.534000397    6.137610435
  -10.513999939    6.262148857
  -10.494000435    6.834600449
  -10.473999977    7.833372593
  -10.454000473    9.218823433
  -10.434000015   10.939431190
  -10.413999557   12.900541306
  -10.394000053   14.986491203
  -10.373999596   17.095357895
  -10.354000092   19.087791443
  -10.333999634   20.887559891
  -10.314000130   22.409130096
  -10.293999672   23.597463608
  -10.274000168   24.450231552
  -10.253999710   24.946098328
  -10.234000206   25.088760376
  -10.213999748   24.848178864
  -10.194000244   24.241796494
  -10.173999786   23.241260529
  -10.154000282   21.877000809
  -10.133999825   20.206769943
  -10.114000320   18.311609268
  -10.093999863   16.307998657
  -10.074000359   14.332042694
  -10.053999901   12.532597542
  -10.034000397   11.023377419
  -10.013999939    9.916298866
   -9.994000435    9.281759262
   -9.973999977    9.149178505
   -9.954000473    9.525289536
   -9.934000015   10.364324570
   -9.913999557   11.593028069
   -9.894000053   13.107449532
   -9.873999596   14.772710800
   -9.854000092   16.440811157
   -9.833999634   17.963228226
   -9.814000130   19.220876694
   -9.793999672   20.120450974
   -9.774000168   20.620912552
   -9.753999710   20.732456207
   -9.734000206   20.480554581
   -9.713999748   19.943441391
   -9.694000244   19.199211121
   -9.673999786   18.317724228
   -9.654000282   17.377971649
   -9.633999825   16.441326141
   -9.614000320   15.554301262
   -9.593999863   14.778515816
   -9.574000359   14.136148453
   -9.553999901   13.632349014
   -9.534000397   13.237761497
   -9.513999939   12.909100533
   -9.494000435   12.587918282
   -9.473999977   12.176774025
   -9.454000473   11.636830330
   -9.434000015   10.924159050
   -9.413999557   10.040981293
   -9.394000053    9.021220207
   -9.373999596    7.935300827
   -9.354000092    6.841176510
   -9.333999634    5.810700893
   -9.314000130    4.904572010
   -9.293999672    4.151969910
   -9.274000168    3.562470198
   -9.253999710    3.128232956
   -9.234000206    2.834471226
   -9.213999748    2.660222054
   -9.194000244    2.587935209
   -9.173999786    2.610863447
   -9.154000282    2.732506037
   -9.133999825    2.965354919
   -9.114000320    3.336555719
   -9.093999863    3.868710279
   -9.074000359    4.592848778
   -9.053999901    5.531734467
   -9.034000397    6.694484711
   -9.013999939    8.086632729
