#  E (eV)   dos(E)     Int dos(E)
-40.080  0.2640E-83  0.2624E-82
-40.060  0.2640E-83  0.2629E-82
-40.040  0.2640E-83  0.2634E-82
-40.020  0.2640E-83  0.2640E-82
-40.000  0.2640E-83  0.2645E-82
-39.980  0.2640E-83  0.2650E-82
-39.960  0.2640E-83  0.2656E-82
-39.940  0.2640E-83  0.2661E-82
-39.920  0.2640E-83  0.2666E-82
-39.900  0.2640E-83  0.2671E-82
-39.880  0.2640E-83  0.2677E-82
-39.860  0.2640E-83  0.2682E-82
-39.840  0.2640E-83  0.2687E-82
-39.820  0.2640E-83  0.2693E-82
-39.800  0.2640E-83  0.2698E-82
-39.780  0.2640E-83  0.2703E-82
-39.760  0.2640E-83  0.2708E-82
-39.740  0.2640E-83  0.2714E-82
-39.720  0.2640E-83  0.2719E-82
-39.700  0.2640E-83  0.2724E-82
-39.680  0.2640E-83  0.2730E-82
-39.660  0.2640E-83  0.2735E-82
-39.640  0.2640E-83  0.2740E-82
-39.620  0.2640E-83  0.2745E-82
-39.600  0.2640E-83  0.2751E-82
-39.580  0.2640E-83  0.2756E-82
-39.560  0.2640E-83  0.2761E-82
-39.540  0.2640E-83  0.2766E-82
-39.520  0.2640E-83  0.2772E-82
-39.500  0.2640E-83  0.2777E-82
-39.480  0.2640E-83  0.2782E-82
-39.460  0.2640E-83  0.2788E-82
-39.440  0.2640E-83  0.2793E-82
-39.420  0.2640E-83  0.2798E-82
-39.400  0.2640E-83  0.2803E-82
-39.380  0.2640E-83  0.2809E-82
-39.360  0.2640E-83  0.2814E-82
-39.340  0.2640E-83  0.2819E-82
-39.320  0.2640E-83  0.2825E-82
-39.300  0.2640E-83  0.2830E-82
-39.280  0.2640E-83  0.2835E-82
-39.260  0.2640E-83  0.2840E-82
-39.240  0.2640E-83  0.2846E-82
-39.220  0.2640E-83  0.2851E-82
-39.200  0.2640E-83  0.2856E-82
-39.180  0.2640E-83  0.2862E-82
-39.160  0.2640E-83  0.2867E-82
-39.140  0.2640E-83  0.2872E-82
-39.120  0.2640E-83  0.2877E-82
-39.100  0.2640E-83  0.2883E-82
-39.080  0.2640E-83  0.2888E-82
-39.060  0.2640E-83  0.2893E-82
-39.040  0.2640E-83  0.2898E-82
-39.020  0.2640E-83  0.2904E-82
-39.000  0.2640E-83  0.2909E-82
-38.980  0.2640E-83  0.2914E-82
-38.960  0.2640E-83  0.2920E-82
