# E (eV)  pdos(E) 
  -15.473999977   31.783693314
  -15.454000473   32.092319489
  -15.434000015   32.366798401
  -15.413999557   32.569709778
  -15.394000053   32.668693542
  -15.373999596   32.645496368
  -15.354000092   32.508083344
  -15.333999634   32.270797729
  -15.314000130   31.956794739
  -15.293999672   31.584604263
  -15.274000168   31.162405014
  -15.253999710   30.692192078
  -15.234000206   30.173301697
  -15.213999748   29.607999802
  -15.194000244   29.016592026
  -15.173999786   28.429481506
  -15.154000282   27.892484665
  -15.133999825   27.457197189
  -15.114000320   27.163381577
  -15.093999863   27.044494629
  -15.074000359   27.108901978
  -15.053999901   27.347692490
  -15.034000397   27.735994339
  -15.013999939   28.240612030
  -14.994000435   28.824583054
  -14.973999977   29.463500977
  -14.954000473   30.125488281
  -14.934000015   30.782913208
  -14.913999557   31.400110245
  -14.894000053   31.952192307
  -14.873999596   32.357986450
  -14.854000092   32.653495789
  -14.833999634   32.715908051
  -14.814000130   32.602413177
  -14.793999672   32.244709015
  -14.774000168   31.762815475
  -14.753999710   31.147886276
  -14.734000206   30.459424973
  -14.713999748   29.764009476
  -14.694000244   29.106201172
  -14.673999786   28.528802872
  -14.654000282   28.069711685
  -14.633999825   27.750705719
  -14.614000320   27.585809708
  -14.593999863   27.585693359
  -14.574000359   27.739589691
  -14.553999901   28.038908005
  -14.534000397   28.448322296
  -14.513999939   28.928815842
  -14.494000435   29.425010681
  -14.473999977   29.887498856
  -14.454000473   30.247165680
  -14.434000015   30.498027802
  -14.413999557   30.663904190
  -14.394000053   30.623010635
  -14.373999596   30.472702026
  -14.354000092   30.215391159
  -14.333999634   29.893192291
  -14.314000130   29.574010849
  -14.293999672   29.291406631
  -14.274000168   29.068105698
  -14.253999710   28.930511475
  -14.234000206   28.887205124
  -14.213999748   28.924116135
  -14.194000244   29.013237000
  -14.173999786   29.124227524
  -14.154000282   29.262289047
  -14.133999825   29.312480927
  -14.114000320   29.357505798
  -14.093999863   29.305515289
  -14.074000359   29.245502472
  -14.053999901   29.165588379
  -14.034000397   29.103088379
  -14.013999939   29.070102692
  -13.994000435   29.063613892
  -13.973999977   29.137926102
  -13.954000473   29.257707596
  -13.934000015   29.479852676
  -13.913999557   29.764635086
  -13.894000053   30.114065170
  -13.873999596   30.417106628
  -13.854000092   30.737102509
  -13.833999634   31.023910522
  -13.814000130   31.277244568
  -13.793999672   31.435928345
  -13.774000168   31.489036560
  -13.753999710   31.433509827
  -13.734000206   31.271530151
  -13.713999748   30.989011765
  -13.694000244   30.588878632
